PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
201142,Kevin Durant,Kevin,1610612756,PHX,36.0,62,33,29,0.532,2264.685,592,1124,0.527,160,372,0.43,303,361,0.839,23,351,374,263,190,50,77,32,104,331,1647,-38,2681.3,5,0,2698.0,192,166,362,244,49,15,28,85,48,71,35,18,23,120,342,43,76,72,23,161,24,430,361,12,19,361,30,106,44,24
1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,25.0,74,42,32,0.568,2206.951666666667,592,1213,0.488,146,389,0.375,311,398,0.781,91,326,417,148,153,92,113,87,257,334,1641,331,2825.4,6,0,2762.0,71,81,413,216,58,15,18,155,66,67,149,16,13,247,81,52,58,147,47,26,5,566,569,11,20,30,22,93,44,21
1627783,Pascal Siakam,Pascal,1610612754,IND,31.0,78,47,31,0.603,2547.8533333333335,613,1182,0.519,126,324,0.389,226,308,0.734,133,407,540,263,109,70,42,45,189,267,1578,312,2847.5,11,0,2731.0,35,36,395,165,25,13,21,96,90,105,116,43,36,341,40,25,26,72,88,77,75,489,545,27,21,37,20,55,44,22
1629636,Darius Garland,Darius,1610612739,CLE,25.0,75,60,15,0.8,2300.77,554,1174,0.472,212,529,0.401,224,255,0.878,47,167,214,506,189,91,11,43,143,227,1544,499,2676.8,7,0,2680.0,59,5,179,32,39,25,22,207,18,21,77,44,51,72,205,206,214,9,24,28,311,483,467,47,22,12,31,87,44,26
1629632,Coby White,Coby,1610612741,CHI,25.0,74,35,39,0.473,2450.2566666666667,508,1121,0.453,216,584,0.37,277,307,0.902,25,248,273,330,177,69,16,77,154,267,1509,-141,2409.6,2,0,2498.0,71,149,486,311,31,35,29,267,15,14,173,26,37,40,329,103,143,52,30,83,242,561,492,27,23,487,51,159,44,39
1631114,Jalen Williams,Jalen,1610612760,OKC,24.0,69,55,14,0.797,2236.673333333333,565,1168,0.484,124,340,0.365,236,299,0.789,59,310,369,355,150,111,46,59,158,245,1490,456,2786.3,3,0,2652.0,129,11,168,36,53,23,23,167,94,91,193,39,40,236,159,64,80,39,48,10,67,531,502,41,24,14,26,134,44,27
1630559,Austin Reaves,Austin,1610612747,LAL,26.0,73,46,27,0.63,2550.0916666666667,477,1037,0.46,200,531,0.377,321,366,0.877,61,268,329,421,177,81,22,47,151,321,1475,195,2633.3,9,1,2631.0,86,45,334,121,23,41,41,243,20,20,144,14,21,74,150,87,97,21,30,44,187,498,484,13,25,73,36,71,20,30
1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,27.0,62,27,35,0.435,2241.1366666666668,539,1163,0.463,118,381,0.31,263,318,0.827,54,244,298,392,174,91,25,56,164,261,1459,-69,2578.6,9,0,2499.0,192,232,447,361,52,28,24,229,99,69,363,31,33,149,175,105,121,26,34,28,162,526,511,32,26,413,39,71,44,38
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,76,52,24,0.684,2394.9766666666665,567,1143,0.496,21,90,0.233,296,428,0.692,262,524,786,372,194,84,61,84,209,406,1451,410,3193.2,45,4,2920.0,51,19,291,77,35,21,26,143,336,294,455,20,11,403,6,12,8,31,21,39,43,565,560,6,27,17,11,7,9,15
1630532,Franz Wagner,Franz,1610612753,ORL,23.0,60,33,27,0.55,2023.3066666666666,537,1161,0.463,104,352,0.295,271,311,0.871,56,286,342,284,138,75,21,75,147,252,1449,247,2435.4,3,0,2371.0,206,166,334,231,89,29,25,232,129,85,388,29,34,82,166,78,93,66,59,58,194,555,475,36,28,60,49,134,44,48
203081,Damian Lillard,Damian,1610612749,MIL,34.0,58,32,26,0.552,2092.87,444,992,0.448,197,524,0.376,362,393,0.921,29,243,272,410,162,70,10,43,97,299,1447,53,2466.4,14,2,2486.0,223,179,315,228,77,57,48,287,21,23,147,9,15,30,310,106,144,23,40,77,328,483,338,17,29,137,45,40,15,41
1628969,Mikal Bridges,Mikal,1610612752,NYK,28.0,82,51,31,0.622,3036.076666666667,592,1183,0.5,164,463,0.354,96,118,0.814,71,188,259,306,132,75,43,24,127,130,1444,334,2435.8,1,0,2409.0,1,22,395,135,1,15,20,124,43,33,230,144,161,185,124,172,160,60,68,58,74,370,434,116,30,28,48,198,44,44
1627750,Jamal Murray,Jamal,1610612743,DEN,28.0,67,41,26,0.612,2418.346666666667,531,1121,0.474,156,397,0.393,218,246,0.886,45,216,261,403,138,91,33,46,128,211,1436,331,2587.7,5,0,2504.0,147,83,315,152,34,30,29,198,55,61,108,47,56,58,218,124,159,25,59,28,116,493,438,56,31,30,38,106,44,36
1628389,Bam Adebayo,Bam,1610612748,MIA,27.0,78,36,42,0.462,2673.693333333333,540,1113,0.485,79,221,0.357,251,328,0.765,185,564,749,337,161,98,53,46,162,309,1410,27,3106.3,38,1,2877.0,35,136,517,327,12,27,32,164,181,181,217,35,29,282,19,9,10,46,42,19,52,493,506,15,32,175,15,11,20,16
1629029,Luka Dončić,Luka,1610612747,LAL,26.0,50,31,19,0.62,1768.55,461,1025,0.45,177,481,0.368,309,395,0.782,40,369,409,383,179,89,21,30,126,293,1408,344,2624.3,21,5,2597.0,283,186,226,138,132,48,43,276,32,27,181,17,14,245,244,33,63,27,29,34,194,416,432,19,33,24,37,28,8,33
1629008,Michael Porter Jr.,Michael,1610612743,DEN,26.0,77,47,30,0.61,2593.2633333333333,528,1048,0.504,193,489,0.395,149,194,0.768,138,402,540,165,104,50,38,48,157,138,1398,265,2453.5,15,0,2472.0,43,36,383,155,19,32,39,119,22,25,103,87,86,278,37,26,26,127,100,161,94,501,498,106,34,51,47,37,44,42
1627759,Jaylen Brown,Jaylen,1610612738,BOS,28.0,63,46,17,0.73,2157.9283333333333,518,1118,0.463,116,358,0.324,246,322,0.764,82,286,368,286,162,73,19,68,154,292,1398,402,2382.6,5,0,2352.0,185,45,202,64,67,34,31,230,101,83,332,37,31,284,100,78,82,64,40,66,210,551,492,20,34,18,54,106,44,52
1629673,Jordan Poole,Jordan,1610612764,WAS,25.0,68,15,53,0.221,2000.8866666666668,457,1057,0.432,235,622,0.378,242,274,0.883,31,172,203,303,204,86,27,68,201,287,1391,-558,2224.1,1,0,2358.0,138,349,555,511,91,51,38,339,9,12,140,38,47,61,298,193,228,61,13,36,150,551,554,21,36,567,66,198,44,51
1630178,Tyrese Maxey,Tyrese,1610612755,PHI,24.0,52,20,32,0.385,1960.195,477,1091,0.437,161,478,0.337,254,289,0.879,15,159,174,317,124,91,21,61,116,224,1369,-124,2265.3,8,1,2245.0,267,296,413,400,95,41,34,322,47,29,290,34,42,69,405,223,261,56,74,28,194,536,406,51,37,469,63,77,20,56
1630169,Tyrese Haliburton,Tyrese,1610612754,IND,25.0,73,46,27,0.63,2450.391666666667,476,1006,0.473,218,562,0.388,189,222,0.851,42,216,258,673,120,105,49,23,92,175,1359,222,3020.1,31,0,2816.0,86,45,334,121,30,43,45,200,13,15,118,61,70,105,237,124,163,4,76,14,64,356,321,74,38,64,16,18,44,19
202696,Nikola Vučević,Nikola,1610612741,CHI,34.0,73,34,39,0.466,2278.25,550,1038,0.53,129,321,0.402,120,149,0.805,178,557,735,256,119,61,52,38,163,164,1349,-98,2835.0,45,1,2695.0,86,157,486,324,47,26,40,82,85,106,75,115,118,206,21,10,12,75,78,111,55,458,510,86,39,450,21,7,20,25
1629014,Anfernee Simons,Anfernee,1610612757,POR,25.0,70,28,42,0.4,2291.8983333333335,479,1125,0.426,215,593,0.363,175,194,0.902,25,164,189,337,143,60,5,64,117,140,1348,-220,2132.3,2,0,2219.0,118,220,517,389,43,40,27,368,17,13,203,68,86,41,329,213,241,46,54,119,396,542,410,102,40,520,69,159,44,59
1627826,Ivica Zubac,Ivica,1610612746,LAC,28.0,80,50,30,0.625,2624.1766666666667,592,942,0.628,0,0,0.0,156,236,0.661,300,710,1010,214,127,55,90,58,168,242,1340,514,3181.0,59,1,2854.0,16,23,383,127,13,15,54,30,499,542,499,82,62,450,1,1,1,95,72,141,17,530,523,43,41,9,12,2,20,17
